"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player104","Schmeichel","Ederson","Maguire","Alexander-Arnold","Bednarek","Taylor","Lindelöf","Salah","Lundstram","Fornals","Pérez","Rodrigo","Ayew","Vardy","Martial",2139,99.5,TRUE
"Player404","Dubravka","Pope","Coady","Egan","Robertson","Doherty","Webster","Douglas Luiz","Noble","Pérez","Salah","Trézéguet","Ings","Firmino","Maupay",2139,96.5,TRUE
"Player818","Patrício","Dubravka","Robertson","Lindelöf","Walker","Doherty","Alexander-Arnold","Lundstram","Pépé","Hourihane","Sterling","Hayden","Wood","Ings","Antonio",2139,99.5,TRUE
"Player397","Pope","Henderson","Chilwell","Doherty","van Dijk","Mee","O'Connell","Traoré","Trézéguet","McGinn","Mahrez","Fabinho","Firmino","Vardy","Martial",2139,99,TRUE
"Player216","Dubravka","Ryan","Tarkowski","Maguire","Robertson","Ogbonna","Saïss","Maddison","Neves","Trézéguet","De Bruyne","Zaha","Maupay","Ings","Vardy",2139,99,TRUE
"Player981","Patrício","Henderson","van Dijk","Evans","Basham","Aurier","Baldock","Milivojevic","Hourihane","Barnes","Pérez","Mahrez","Ings","Martial","Ayew",2139,96.5,TRUE
"Player160","Guaita","Henderson","Boly","Ward","Doherty","Robertson","Evans","Sterling","Rodrigo","Trossard","Lundstram","Maddison","Maupay","Ings","Jiménez",2139,98,TRUE
"Player865","Ryan","Patrício","Stevens","Aurier","Walker","Egan","Lindelöf","De Bruyne","Son","Wijnaldum","Pépé","Jorginho","Martial","Richarlison","Ayew",2139,99,TRUE
"Player204","Leno","Henderson","Stevens","Cresswell","Jonny","Alexander-Arnold","Azpilicueta","Armstrong","Noble","McTominay","Redmond","Aubameyang","Martial","Ings","Jiménez",2139,100,TRUE
"Player12","Ryan","McCarthy","Keane","Lindelöf","Tarkowski","Alexander-Arnold","Fernández","McNeil","Noble","Lucas Moura","Salah","Shelvey","Ings","Richarlison","Vardy",2139,99,TRUE
"Player803","Guaita","de Gea","Pieters","van Dijk","Basham","Aké","Dunk","De Bruyne","Shelvey","Lundstram","Traoré","Westwood","Martial","Jiménez","Agüero",2139,99.5,TRUE
"Player647","Pope","Guaita","Bednarek","Maguire","Fredericks","Robertson","Coady","Harry Wilson","De Bruyne","Moutinho","Shelvey","Barnes","Richarlison","Martial","Jiménez",2139,97.5,TRUE
"Player343","Ryan","de Gea","Dunk","Alexander-Arnold","van Dijk","Doherty","Otamendi","Mahrez","Pérez","Norwood","Grealish","McTominay","Jesus","Jiménez","Maupay",2139,96.5,TRUE
"Player542","Schmeichel","de Gea","van Dijk","Robertson","Stevens","Gomez","Azpilicueta","Sterling","Grealish","Ndidi","Højbjerg","Jota","Martial","Rodriguez","Ings",2139,100,TRUE
"Player450","Pickford","Dubravka","Alexander-Arnold","Coady","Basham","Tarkowski","Robertson","Douglas Luiz","Aubameyang","Mahrez","Ndidi","McNeil","Wood","Kane","Ayew",2139,99.5,TRUE
"Player117","Leno","Schmeichel","Targett","Baldock","Doherty","Maguire","Keane","Grealish","Henderson","Shelvey","McGinn","Mané","Martial","Jiménez","Ings",2139,98.5,TRUE
"Player878","Guaita","Schmeichel","van Dijk","Keane","Aurier","Azpilicueta","Doherty","Moutinho","De Bruyne","McArthur","Pérez","Snodgrass","Ayew","Firmino","Ings",2139,98.5,TRUE
"Player18","Pickford","Ryan","van Dijk","Bertrand","Baldock","Dunk","Stevens","Grealish","McArthur","McNeil","Mané","Saint-Maximin","Jiménez","Abraham","Ings",2139,97.5,TRUE
"Player507","Guaita","Pope","Alexander-Arnold","Gomez","Doherty","Fernández","van Aanholt","McTominay","Barnes","Mahrez","Ward-Prowse","Noble","Jiménez","Martial","Abraham",2139,96.5,TRUE
"Player1000","Pope","Dubravka","Webster","Dunk","Stevens","Tarkowski","Gomez","Trossard","Son","Grealish","Shelvey","Pérez","Richarlison","Vardy","Martial",2138,97.5,TRUE
"Player134","Pope","Schmeichel","van Dijk","Walker","Saïss","Bardsley","Wan-Bissaka","Kouyaté","Dendoncker","Aubameyang","Almirón","De Bruyne","Wood","Jiménez","Ayew",2138,99,TRUE
"Player352","Pope","McCarthy","Alexander-Arnold","Aké","Egan","Söyüncü","Lascelles","Barnes","Lundstram","De Bruyne","Zaha","Moutinho","Kane","Wood","Jiménez",2138,100,TRUE
"Player448","Pope","Lloris","Stevens","Robertson","Lindelöf","Burn","Doherty","Salah","Rodrigo","Fabinho","De Bruyne","Mooy","Wood","Antonio","Ings",2138,100,TRUE
"Player5","Guaita","Ryan","Jonny","van Dijk","Digne","Doherty","Stevens","Barnes","Lundstram","De Bruyne","Rice","Redmond","Rodriguez","Haller","Jiménez",2138,95.5,TRUE
"Player332","Schmeichel","Patrício","Mee","Dunk","Lindelöf","Fernández","van Dijk","Henderson","De Bruyne","Rashford","Lundstram","Ndidi","Calvert-Lewin","McBurnie","Vardy",2138,97.5,TRUE
"Player159","Ederson","Leno","Digne","Robertson","Keane","Coady","Basham","Grealish","Henderson","Trézéguet","Barnes","De Bruyne","Abraham","Jiménez","Richarlison",2138,99.5,TRUE
"Player63","Dubravka","Patrício","Jonny","van Aanholt","Egan","Coady","van Dijk","McNeil","Alli","Trézéguet","Barnes","Mané","Abraham","Wood","Martial",2138,99.5,TRUE
"Player8","Pope","Schmeichel","van Dijk","Egan","Coady","Azpilicueta","Stevens","Lundstram","McNeil","Henderson","Dendoncker","Mount","Ayew","Richarlison","Jiménez",2138,90.5,TRUE
"Player971","Ederson","Henderson","Stevens","Doherty","Bertrand","Baldock","Alexander-Arnold","Sterling","Tielemans","Rodrigo","Saint-Maximin","Groß","Wood","Ings","Jiménez",2138,99.5,TRUE
"Player497","Schmeichel","Pope","Doherty","Fredericks","O'Connell","Fernández","Burn","Noble","Son","Mahrez","Salah","Moutinho","Maupay","Wood","Vardy",2138,99,TRUE
"Player682","Henderson","Pickford","Egan","Evans","van Dijk","Saïss","Tarkowski","Jorginho","Son","Norwood","Westwood","Aubameyang","Martial","Mousset","Vardy",2138,99.5,TRUE
"Player830","Schmeichel","McCarthy","van Dijk","Egan","Tarkowski","Robertson","Azpilicueta","Trossard","Douglas Luiz","Mané","Milivojevic","Fornals","Martial","Calvert-Lewin","Ings",2138,100,TRUE
"Player482","Pope","Henderson","Tarkowski","Doherty","Pereira","Alderweireld","Egan","Lundstram","McArthur","Aubameyang","Pépé","Armstrong","Haller","Ings","Martial",2138,99.5,TRUE
"Player631","de Gea","Pope","Egan","Robertson","Söyüncü","Alexander-Arnold","Bardsley","Rodrigo","Ward-Prowse","Fornals","McNeil","De Bruyne","Jiménez","Haller","Maupay",2138,97.5,TRUE
"Player541","Dubravka","de Gea","Alderweireld","Tarkowski","Jonny","Söyüncü","Aurier","McGinn","Grealish","Salah","Lundstram","Traoré","Martial","Jiménez","Antonio",2138,98.5,TRUE
"Player133","Pope","de Gea","Egan","Alexander-Arnold","Dunk","Lascelles","Diop","Moutinho","Traoré","Aubameyang","Henderson","Rice","Jiménez","Maupay","Vardy",2137,97,TRUE
"Player896","Pickford","Dubravka","Keane","Maguire","Stevens","Egan","Doherty","Rodrigo","Sigurdsson","Westwood","Salah","Lundstram","Ings","Ayew","Vardy",2137,97,TRUE
"Player376","de Gea","Schmeichel","Dunk","Alexander-Arnold","Egan","Maguire","Jonny","Westwood","Noble","Moutinho","Aubameyang","Rodrigo","Jiménez","Wood","Kane",2137,98.5,TRUE
"Player869","Pope","Ryan","Egan","Alexander-Arnold","Doherty","Otamendi","Wan-Bissaka","Ndidi","De Bruyne","Jota","Hourihane","Armstrong","Firmino","Wood","Martial",2137,98.5,TRUE
"Player398","de Gea","Dubravka","Lindelöf","Robertson","Wan-Bissaka","Baldock","Söyüncü","De Bruyne","Mané","Shelvey","Rice","Groß","Ings","Joelinton","Maupay",2137,100,TRUE
"Player484","Schmeichel","Henderson","Baldock","Egan","Aurier","Mee","Robertson","Traoré","Shelvey","Salah","Sigurdsson","Wijnaldum","Richarlison","Vardy","McBurnie",2137,99.5,TRUE
"Player206","Pope","Dubravka","Webster","Doherty","Keane","Fernández","Robertson","Barnes","De Bruyne","Trossard","Douglas Luiz","Pröpper","Ayew","Ings","Vardy",2137,97,TRUE
"Player877","Guaita","McCarthy","Baldock","Egan","van Dijk","Wan-Bissaka","Saïss","McArthur","Traoré","Salah","Barnes","Ward-Prowse","Rodriguez","Ings","Vardy",2137,98.5,TRUE
"Player886","McCarthy","Patrício","Söyüncü","Otamendi","Robertson","Dunk","Fernández","Ward-Prowse","Son","De Bruyne","Maddison","Henderson","Richarlison","Calvert-Lewin","Ings",2137,100,TRUE
"Player188","Lloris","Pope","Egan","Baldock","Basham","Tarkowski","Maguire","Kouyaté","Son","De Bruyne","Xhaka","Mahrez","Calvert-Lewin","Ayew","Jiménez",2137,98.5,TRUE
"Player776","Pope","Guaita","Ward","Alexander-Arnold","Söyüncü","Baldock","Tarkowski","Traoré","Rice","Son","Barnes","Lundstram","Haller","Firmino","Martial",2137,97,TRUE
"Player802","Patrício","McCarthy","Maguire","van Dijk","Alexander-Arnold","Saïss","Söyüncü","Pulisic","De Bruyne","McGinn","Harry Wilson","Armstrong","Richarlison","Ayew","Ings",2137,99,TRUE
"Player331","Dubravka","Arrizabalaga","Söyüncü","Ward","Stevens","Doherty","Alexander-Arnold","Salah","Groß","McGinn","Lundstram","Son","Abraham","Ings","Maupay",2137,99.5,TRUE
"Player502","Pope","Pickford","van Dijk","Dunk","Robertson","Stevens","Saïss","Jota","Rashford","Rice","Henderson","Zaha","Richarlison","Jiménez","Wood",2137,96,TRUE
"Player561","Patrício","de Gea","Evans","Webster","Chilwell","Robertson","Tarkowski","Salah","McNeil","Armstrong","Dendoncker","Shelvey","Ings","Jiménez","Wood",2137,96.5,TRUE
"Player175","Henderson","de Gea","Alexander-Arnold","Tarkowski","Aurier","Digne","Stephens","Rodrigo","Jorginho","De Bruyne","Dendoncker","Chamberlain","Martial","Vardy","Maupay",2137,99.5,TRUE
"Player636","Patrício","de Gea","Alexander-Arnold","Azpilicueta","Wan-Bissaka","Egan","Basham","Harry Wilson","Mahrez","Douglas Luiz","Son","Rice","Kane","Ings","Ayew",2137,98,TRUE
"Player439","Pope","Lloris","Ward","Cresswell","Alexander-Arnold","Mings","Evans","Lundstram","Westwood","Salah","Ward-Prowse","Barnes","Wood","Vardy","Jiménez",2137,99.5,TRUE
"Player661","McCarthy","Dubravka","Alexander-Arnold","Doherty","Walker","Tarkowski","Stevens","Dendoncker","Shelvey","Mount","Salah","Ritchie","Rodriguez","Vardy","Firmino",2137,100,TRUE
"Player310","Alisson","Schmeichel","Taylor","Doherty","van Dijk","Alexander-Arnold","Egan","Højbjerg","Maddison","Tielemans","Grealish","Pulisic","Jiménez","Martial","Rodriguez",2137,98.5,TRUE
"Player303","Ryan","Henderson","Walker","Tarkowski","Targett","Stevens","Saïss","Ward-Prowse","Moutinho","Westwood","Trossard","De Bruyne","Vardy","Jiménez","Abraham",2137,97,TRUE
"Player395","Ryan","Ederson","Robertson","Tarkowski","Doherty","Basham","Jonny","Pérez","Rashford","Ritchie","Mahrez","Zaha","Jiménez","Maupay","Ayew",2137,97,TRUE
"Player673","Dubravka","Henderson","Tarkowski","Lascelles","Egan","Chilwell","Basham","De Bruyne","Ward-Prowse","Son","Neves","Pulisic","Ings","Abraham","Wood",2137,99,TRUE
"Player882","Schmeichel","Ryan","Lindelöf","Tarkowski","Otamendi","Maguire","Robertson","Sigurdsson","Moutinho","Mané","Saint-Maximin","Tielemans","Ings","Martial","Richarlison",2137,100,TRUE
"Player228","Schmeichel","Dubravka","Tarkowski","van Dijk","Baldock","Pereira","Ward","Moutinho","Dendoncker","Chamberlain","Lundstram","Son","Ings","Richarlison","Vardy",2137,96.5,TRUE
"Player847","Henderson","Dubravka","Baldock","Stevens","Azpilicueta","Chilwell","Robertson","Aubameyang","Moutinho","Pérez","Jota","Mount","Haller","Ings","Wood",2137,99,TRUE
"Player201","Dubravka","Pope","van Aanholt","Mee","Alexander-Arnold","Aurier","Söyüncü","Lundstram","Aubameyang","Ward-Prowse","Pulisic","Traoré","Haller","Jiménez","Ayew",2137,99,TRUE
"Player623","de Gea","Leno","Alexander-Arnold","Lindelöf","Evans","van Dijk","Maguire","Almirón","Armstrong","Lundstram","Aubameyang","Grealish","Richarlison","Haller","Abraham",2137,98.5,TRUE
"Player421","Ryan","Henderson","O'Connell","Egan","Alexander-Arnold","Jonny","Robertson","McArthur","Neves","Sigurdsson","Henderson","Grealish","Vardy","Jiménez","Maupay",2137,95.5,TRUE
"Player336","Pope","Henderson","Pereira","Mings","Doherty","Alexander-Arnold","Aurier","De Bruyne","Maddison","Shelvey","Milivojevic","Hayden","Antonio","Jiménez","Abraham",2137,98.5,TRUE
"Player410","Pope","Henderson","Alexander-Arnold","Robertson","Jonny","Bednarek","Cresswell","Armstrong","Ritchie","McArthur","Ward-Prowse","Mané","Abraham","Vardy","Richarlison",2137,100,TRUE
"Player265","Ederson","de Gea","Alexander-Arnold","Bednarek","van Dijk","Ogbonna","van Aanholt","Mount","Mahrez","Norwood","Moutinho","Hourihane","Ings","Jiménez","Martial",2136,98.5,TRUE
"Player690","Ryan","Henderson","Ward","Otamendi","Boly","Robertson","Doherty","Lundstram","Grealish","Mooy","Barnes","De Bruyne","Jiménez","Firmino","Maupay",2136,98.5,TRUE
"Player659","Ryan","Dubravka","Pieters","Fredericks","Aurier","Evans","Alexander-Arnold","Lundstram","Neves","Pérez","Fleck","Mané","Martial","Ings","Firmino",2136,99.5,TRUE
"Player852","Henderson","Dubravka","Pereira","Maguire","O'Connell","Azpilicueta","Söyüncü","Grealish","Jorginho","Salah","Douglas Luiz","Lundstram","Vardy","Abraham","Firmino",2136,100,TRUE
"Player70","Pope","Patrício","Pereira","Bednarek","O'Connell","van Dijk","Lindelöf","Neves","McGinn","McNeil","Jorginho","De Bruyne","Jesus","Vardy","Ings",2136,99.5,TRUE
"Player949","Ryan","Arrizabalaga","Webster","Maguire","Alexander-Arnold","Mina","Doherty","De Bruyne","Rodrigo","Traoré","Rice","Armstrong","Richarlison","Jiménez","Vardy",2136,99,TRUE
"Player819","Patrício","McCarthy","Azpilicueta","Alexander-Arnold","Dunk","Tarkowski","Otamendi","Dendoncker","Mahrez","Henderson","Trézéguet","Mané","Antonio","Richarlison","Martial",2136,99,TRUE
"Player646","Schmeichel","Patrício","Alderweireld","Evans","Gomez","Robertson","Coady","Aubameyang","McArthur","Noble","Son","Henderson","Jiménez","Maupay","Ings",2136,100,TRUE
"Player689","Guaita","Patrício","Wan-Bissaka","Evans","Webster","Dunk","Baldock","Lundstram","McArthur","Pulisic","De Bruyne","Maddison","Maupay","Ings","Richarlison",2136,97.5,TRUE
"Player549","Dubravka","Fabianski","Walker","Maguire","van Dijk","Doherty","Alexander-Arnold","James","Pérez","Son","Højbjerg","Grealish","Martial","Richarlison","Wood",2136,99,TRUE
"Player89","Pope","Lloris","Dunk","Basham","O'Connell","Alonso","Doherty","Trossard","Pérez","Shelvey","Henderson","De Bruyne","Calvert-Lewin","Ings","Vardy",2136,98.5,TRUE
"Player867","Fabianski","Lloris","Stevens","Lindelöf","Mee","Wan-Bissaka","Alexander-Arnold","Lundstram","Pérez","Salah","Mount","Trézéguet","Antonio","Martial","Ings",2136,99.5,TRUE
"Player618","Dubravka","Fabianski","Boly","Egan","Alexander-Arnold","Wan-Bissaka","Evans","El Ghazi","Barnes","De Bruyne","Saint-Maximin","Lundstram","Abraham","Firmino","Jiménez",2136,100,TRUE
"Player620","Patrício","Pope","Bednarek","Alexander-Arnold","Dunk","van Dijk","Ward","Ndidi","Tielemans","Dendoncker","De Bruyne","Mahrez","Wood","Adams","Jiménez",2136,96.5,TRUE
"Player786","Pope","McCarthy","Baldock","van Dijk","Aurier","Bardsley","Robertson","Mané","El Ghazi","Ritchie","Neves","Rashford","Ayew","Richarlison","Martial",2136,100,TRUE
"Player407","Pope","McCarthy","Bardsley","Lindelöf","Evans","Burn","Alexander-Arnold","De Bruyne","Norwood","Traoré","Ward-Prowse","Salah","Wood","Abraham","Calvert-Lewin",2136,99,TRUE
"Player768","Guaita","Ryan","Pieters","Alexander-Arnold","Ward","Pereira","Basham","Fabinho","Mané","Rice","De Bruyne","Almirón","Richarlison","Ayew","Jiménez",2136,99.5,TRUE
"Player979","Pope","Henderson","Aurier","Pieters","Walker","Dunk","Maguire","Mount","De Bruyne","Grealish","Mooy","Lundstram","Jiménez","Abraham","Ayew",2136,95.5,TRUE
"Player889","Pope","Henderson","van Aanholt","Bardsley","Egan","Robertson","Baldock","Ndidi","Traoré","Fabinho","Son","De Bruyne","Martial","Richarlison","McBurnie",2136,99,TRUE
"Player379","Ederson","Dubravka","Taylor","Robertson","Alexander-Arnold","Saïss","Evans","McTominay","Rice","Jota","Fabinho","De Bruyne","Ayew","Martial","Vardy",2136,99,TRUE
"Player653","Lloris","Patrício","Azpilicueta","O'Connell","van Aanholt","Robertson","David Luiz","Grealish","Mané","Almirón","Moutinho","Lundstram","Ings","Jiménez","Ayew",2136,99,TRUE
"Player853","Lloris","Henderson","Doherty","Evans","Pereira","Azpilicueta","Wan-Bissaka","Moutinho","De Bruyne","Son","Norwood","Wijnaldum","Maupay","Ings","Wood",2136,98,TRUE
"Player757","Ryan","Dubravka","Tarkowski","Alexander-Arnold","Pereira","Stevens","Dunk","Bernardo Silva","Henderson","Snodgrass","Rashford","Chamberlain","Jiménez","Wood","Vardy",2136,99,TRUE
"Player149","Ryan","de Gea","Alexander-Arnold","Evans","van Dijk","Mendy","Mina","Almirón","Rice","Son","De Bruyne","Lundstram","Antonio","Wood","Richarlison",2136,99,TRUE
"Player937","Patrício","Dubravka","David Luiz","Jonny","Wan-Bissaka","Keane","Alexander-Arnold","Fleck","Westwood","Tielemans","De Bruyne","Barnes","Ings","Martial","Joelinton",2136,99.5,TRUE
"Player81","Dubravka","Pope","Saïss","Mina","Wan-Bissaka","Pereira","van Dijk","Douglas Luiz","Westwood","Mahrez","Mané","McTominay","Jiménez","Ayew","Vardy",2136,99.5,TRUE
"Player487","Pickford","Ryan","Lindelöf","Dunk","Saïss","Stevens","Boly","Grealish","Ward-Prowse","De Bruyne","El Ghazi","Pérez","Jiménez","Martial","Richarlison",2136,98,TRUE
"Player525","Henderson","Pope","van Dijk","Baldock","Robertson","David Luiz","Azpilicueta","Henderson","Højbjerg","Lundstram","Alli","Fleck","Vardy","Lacazette","Martial",2136,99,TRUE
"Player617","Dubravka","Schmeichel","Stevens","Basham","Robertson","Alexander-Arnold","Doherty","Mooy","Jota","Mount","Pépé","James","Richarlison","Martial","Calvert-Lewin",2136,98.5,TRUE
"Player871","Lloris","Pope","Ogbonna","Wan-Bissaka","Aurier","Stevens","Alexander-Arnold","Rice","Lundstram","Kouyaté","Rashford","Maddison","Jiménez","Abraham","Martial",2135,97,TRUE
"Player158","Pope","Guaita","van Dijk","Alexander-Arnold","Burn","Baldock","Walker","McTominay","Henderson","El Ghazi","Mount","Son","Abraham","Vardy","Jesus",2135,100,TRUE
"Player262","Alisson","Schmeichel","Robertson","van Dijk","Basham","Tarkowski","Keane","Barnes","De Bruyne","Alli","Maddison","Noble","Abraham","Ayew","Calvert-Lewin",2135,99.5,TRUE
"Player192","Alisson","Dubravka","Chilwell","Bednarek","Stevens","Egan","Tarkowski","Ritchie","Neves","Mahrez","Moutinho","De Bruyne","Jesus","Martial","Ings",2135,100,TRUE
"Player926","Dubravka","Pope","Jonny","Tarkowski","Webster","Wan-Bissaka","Robertson","Salah","Dendoncker","Wijnaldum","Jota","De Bruyne","Adams","McBurnie","Martial",2135,100,TRUE
"Player161","Dubravka","Leno","Dunk","Alexander-Arnold","Lindelöf","Doherty","Pieters","Mahrez","Fleck","Zaha","Norwood","Alli","Jiménez","Vardy","Richarlison",2135,99,TRUE
"Player35","Henderson","Ederson","Lindelöf","Söyüncü","O'Connell","Doherty","Coady","De Bruyne","McTominay","Trézéguet","Barnes","Westwood","Ayew","Vardy","Jiménez",2135,97,TRUE
"Player581","de Gea","Pickford","Egan","Stevens","Alexander-Arnold","van Dijk","Walker","De Bruyne","Fornals","Maddison","Groß","Dendoncker","Haller","Ings","Abraham",2135,99.5,TRUE
"Player255","Pope","Ederson","Söyüncü","Doherty","Robertson","Ogbonna","Lindelöf","Lundstram","McGinn","Almirón","Sterling","Noble","Vardy","Antonio","Martial",2135,99,TRUE
"Player67","de Gea","Pope","Tarkowski","Bardsley","Chilwell","Walker","Basham","Lundstram","James","Son","Wijnaldum","Aubameyang","Martial","Ings","Ayew",2135,99.5,TRUE
"Player389","Ryan","Lloris","Alexander-Arnold","Robertson","Coady","Doherty","Webster","De Bruyne","Harry Wilson","McArthur","Ritchie","Mahrez","Haller","Abraham","Martial",2135,99,TRUE
"Player220","Henderson","McCarthy","Stevens","Wan-Bissaka","Ward","Alexander-Arnold","van Aanholt","Tielemans","Lundstram","Jorginho","Salah","Trossard","Ings","Lacazette","Martial",2135,99.5,TRUE
"Player751","de Gea","Pope","Pereira","Coady","Saïss","Baldock","Fernández","McNeil","Henderson","Mount","Salah","Pérez","Martial","McBurnie","Vardy",2135,99.5,TRUE
"Player724","Arrizabalaga","Dubravka","Aurier","Alderweireld","Jonny","Doherty","Basham","De Bruyne","Mahrez","Lundstram","Harry Wilson","McArthur","Vardy","Antonio","Jiménez",2135,99,TRUE
"Player252","de Gea","Ryan","Saïss","David Luiz","van Dijk","Stevens","Baldock","Barnes","Mount","Mooy","Snodgrass","Sterling","Ings","Richarlison","Jiménez",2135,99.5,TRUE
"Player367","de Gea","Pope","Targett","Stevens","Bednarek","Aurier","Alexander-Arnold","Alli","De Bruyne","Lundstram","Moutinho","Ndidi","Ayew","Jiménez","Jesus",2135,98,TRUE
"Player870","de Gea","Dubravka","van Dijk","Bertrand","Egan","Webster","Doherty","Barnes","Pröpper","Henderson","Sterling","Mount","Ings","Ayew","Vardy",2135,98,TRUE
"Player47","Patrício","Ederson","Doherty","Alexander-Arnold","Webster","Azpilicueta","Pereira","Mount","Noble","McNeil","Ward-Prowse","Fornals","Kane","Martial","Ings",2135,100,TRUE
"Player392","Pope","Patrício","Basham","Digne","Aurier","Alexander-Arnold","Lindelöf","Norwood","Trézéguet","Lucas Moura","De Bruyne","James","Martial","Ings","Joelinton",2134,99,TRUE
"Player284","Henderson","Leno","Alexander-Arnold","Dunk","Tarkowski","Mings","Baldock","Saint-Maximin","Noble","McArthur","Sterling","Son","Jiménez","Firmino","Wood",2134,100,TRUE
"Player145","de Gea","Dubravka","Evans","Alexander-Arnold","Wan-Bissaka","Diop","Coady","Rice","Henderson","Mané","Mahrez","Lucas Moura","Wood","Calvert-Lewin","Vardy",2134,100,TRUE
"Player720","Henderson","Arrizabalaga","Cresswell","Mee","Doherty","Alexander-Arnold","Tarkowski","De Bruyne","Mahrez","Milivojevic","Pröpper","McTominay","Richarlison","Abraham","Ings",2134,99.5,TRUE
"Player717","de Gea","Alisson","Wan-Bissaka","Bertrand","Robertson","Stevens","Baldock","Ndidi","De Bruyne","Maddison","Ward-Prowse","Trézéguet","Jiménez","Martial","Ayew",2134,98.5,TRUE
"Player402","Arrizabalaga","Pope","Wan-Bissaka","Tarkowski","Evans","Fredericks","Stephens","Dendoncker","Mount","Westwood","Almirón","De Bruyne","Jiménez","Vardy","Ings",2134,98.5,TRUE
"Player572","Schmeichel","de Gea","Dunk","Evans","Basham","Jonny","van Dijk","Henderson","De Bruyne","Snodgrass","Mahrez","Neves","Martial","Antonio","Lacazette",2134,99.5,TRUE
"Player597","Guaita","Pope","Wan-Bissaka","Evans","Basham","Azpilicueta","Alexander-Arnold","Snodgrass","Ndidi","Mahrez","Rashford","Harry Wilson","Maupay","Abraham","Vardy",2134,98.5,TRUE
"Player15","Pope","Henderson","Lindelöf","Alexander-Arnold","Keane","Robertson","Dunk","Barnes","El Ghazi","Mooy","Rashford","Fornals","Antonio","Ings","Jiménez",2134,98,TRUE
"Player153","Leno","Pope","Coady","Robertson","Otamendi","Boly","van Dijk","Grealish","Rice","Sterling","Saint-Maximin","Milivojevic","Ings","Martial","Richarlison",2134,100,TRUE
"Player36","de Gea","Pope","Gomez","Egan","Basham","Doherty","Coady","Rice","Ndidi","Harry Wilson","De Bruyne","Aubameyang","Martial","Lacazette","Ayew",2134,100,TRUE
"Player521","Patrício","Pope","Bednarek","Burn","Alexander-Arnold","Doherty","Baldock","Lundstram","Trossard","Douglas Luiz","Sterling","Grealish","Mousset","Abraham","Jiménez",2134,96,TRUE
"Player605","Guaita","de Gea","Burn","Alexander-Arnold","Aurier","Wan-Bissaka","van Dijk","Alli","Mahrez","Mount","Fornals","McGinn","Ings","Jiménez","Maupay",2134,99,TRUE
"Player429","Henderson","Ryan","Azpilicueta","Stevens","Aurier","Robertson","Keane","Westwood","Saint-Maximin","Pulisic","Norwood","Pérez","Ings","Vardy","Martial",2134,97.5,TRUE
"Player696","Pope","Dubravka","Keane","Aurier","Alexander-Arnold","Wan-Bissaka","Coady","Rodrigo","Rashford","Fleck","Noble","Westwood","Richarlison","Martial","Jiménez",2134,96,TRUE
"Player666","Pickford","Henderson","Alexander-Arnold","Doherty","van Dijk","Alonso","Diop","De Bruyne","Almirón","Grealish","Armstrong","Henderson","Calvert-Lewin","Maupay","Jesus",2134,99.5,TRUE
"Player556","Schmeichel","Ryan","Alexander-Arnold","Boly","Maguire","Azpilicueta","van Dijk","Shelvey","Pérez","Trossard","McNeil","Grealish","Firmino","Jesus","Jiménez",2134,99.5,TRUE
"Player266","Pope","Ederson","Alexander-Arnold","Aurier","Basham","Lindelöf","Fernández","Douglas Luiz","Mooy","Mount","Aubameyang","Trossard","Wood","Vardy","Jiménez",2134,99.5,TRUE
"Player517","Schmeichel","Henderson","Doherty","Mee","Stevens","Robertson","Alexander-Arnold","Norwood","Trossard","Milivojevic","Grealish","Fornals","Jiménez","Abraham","Wood",2134,95,TRUE
"Player951","Pope","Pickford","Burn","Egan","van Dijk","Alexander-Arnold","Saïss","Jota","Rice","Grealish","Hourihane","Son","Martial","Jiménez","Ayew",2134,96,TRUE
"Player615","Ryan","Dubravka","Coady","Jonny","Basham","van Dijk","Robertson","Aubameyang","Mahrez","Westwood","Salah","Hayden","Ayew","McBurnie","Antonio",2134,100,TRUE
"Player974","Ederson","Henderson","Robertson","Alexander-Arnold","Baldock","Egan","Chilwell","Fabinho","Tielemans","Fornals","Lundstram","Sterling","Ings","Calvert-Lewin","Haller",2134,99.5,TRUE
"Player705","de Gea","Pope","Fernández","Evans","Basham","Robertson","Bardsley","Hayden","Lundstram","Rashford","Fabinho","Salah","Martial","Jiménez","Antonio",2134,99.5,TRUE
"Player754","Henderson","Dubravka","Tarkowski","Pereira","Webster","Wan-Bissaka","Digne","Trézéguet","Noble","Armstrong","Barnes","Salah","Ings","Martial","Richarlison",2134,98.5,TRUE
"Player485","de Gea","Henderson","Pieters","Ward","Alexander-Arnold","Azpilicueta","van Dijk","De Bruyne","Son","Højbjerg","Shelvey","Lundstram","Wood","Jiménez","Mousset",2133,97.5,TRUE
"Player501","Alisson","de Gea","van Dijk","Alexander-Arnold","Basham","Stevens","Fernández","Trossard","Moutinho","Sterling","Westwood","Neves","Maupay","Jesus","Martial",2133,100,TRUE
"Player638","Ryan","Arrizabalaga","Basham","Söyüncü","Alexander-Arnold","Ward","Wan-Bissaka","Dendoncker","De Bruyne","Son","McArthur","Traoré","Martial","Antonio","Ings",2133,99,TRUE
"Player349","Schmeichel","Henderson","Baldock","Basham","Evans","Targett","Mina","Lucas Moura","Dendoncker","Armstrong","De Bruyne","Mahrez","Vardy","Ayew","Martial",2133,99.5,TRUE
