"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player91","Lloris","Henderson","Basham","van Dijk","Stevens","Baldock","Doherty","Ward-Prowse","Rashford","Ndidi","Henderson","Dendoncker","Martial","Abraham","Vardy",2168,97,TRUE
"Player470","Henderson","Pope","Evans","Robertson","Alexander-Arnold","Egan","Söyüncü","Rice","McArthur","Douglas Luiz","Ndidi","Lundstram","Ings","Jiménez","Kane",2168,95,TRUE
"Player900","Ederson","de Gea","Basham","Doherty","Egan","Dunk","Tarkowski","Trézéguet","Lundstram","Zaha","Pérez","Jota","Jiménez","Vardy","Ings",2168,96,TRUE
"Player905","Pope","Henderson","Egan","van Dijk","van Aanholt","Baldock","Dunk","Milivojevic","Rashford","McNeil","Zaha","Tielemans","Jiménez","Wood","Martial",2168,97.5,TRUE
"Player231","Ryan","Henderson","Alexander-Arnold","Alderweireld","Aké","Söyüncü","Stevens","Barnes","Traoré","Mané","Kouyaté","Lundstram","Richarlison","Jiménez","Abraham",2168,99.5,TRUE
"Player940","Patrício","Ryan","Tarkowski","Doherty","Chilwell","Coady","Lindelöf","McNeil","Zaha","Mount","Grealish","De Bruyne","Ings","Lacazette","Calvert-Lewin",2168,99.5,TRUE
"Player745","Dubravka","Leno","Dunk","Digne","Robertson","Evans","Doherty","Rice","Pérez","Sterling","Ward-Prowse","Jorginho","Vardy","Ings","Ayew",2168,98,TRUE
"Player648","Dubravka","Patrício","Mina","Digne","Doherty","Alexander-Arnold","Lindelöf","Kouyaté","Saint-Maximin","Mahrez","McArthur","Rashford","Jiménez","Richarlison","Martial",2167,100,TRUE
"Player984","Henderson","Pope","Bednarek","Pereira","Stevens","Dunk","Basham","Westwood","Rashford","Mahrez","Pulisic","Shelvey","Maupay","Jiménez","Vardy",2167,99.5,TRUE
"Player854","Pope","Ryan","Dunk","Baldock","Chilwell","Robertson","Fredericks","Armstrong","McArthur","Kouyaté","De Bruyne","Son","Abraham","Richarlison","Vardy",2167,99.5,TRUE
"Player118","Schmeichel","Pope","Chilwell","Robertson","Bednarek","Tarkowski","Doherty","Son","Wijnaldum","Rodrigo","Lundstram","Dendoncker","Jiménez","Vardy","Wood",2167,95,TRUE
"Player299","Dubravka","Henderson","Cresswell","Walker","Egan","Alexander-Arnold","Maguire","McNeil","El Ghazi","Mount","Kouyaté","Mahrez","Ings","Jiménez","Martial",2167,98,TRUE
"Player1","Guaita","Henderson","Aurier","van Dijk","Keane","Basham","Alexander-Arnold","El Ghazi","Pérez","McNeil","Moutinho","Son","Abraham","Richarlison","Martial",2167,97.5,TRUE
"Player980","Pope","Schmeichel","Coady","van Aanholt","Ward","Doherty","Boly","Son","De Bruyne","Henderson","Rashford","Lundstram","Ings","Ayew","McBurnie",2167,99,TRUE
"Player274","Dubravka","Henderson","Basham","Walker","Alonso","Doherty","Tarkowski","Grealish","Westwood","Norwood","Almirón","De Bruyne","Ings","Kane","Wood",2167,99.5,TRUE
"Player993","Ryan","Patrício","Pereira","Boly","van Dijk","Bardsley","Alexander-Arnold","Rice","Mount","Lundstram","Milivojevic","Mahrez","Ings","Abraham","Martial",2167,97,TRUE
"Player781","Pope","Ryan","Alexander-Arnold","Ward","Egan","Robertson","van Aanholt","Salah","Rodrigo","Armstrong","Traoré","Pérez","Ings","Joelinton","Jiménez",2167,98.5,TRUE
